Altium Designer Pick and Place Locations,,,,,,,,,
,,,,,,,,,
========================================================================================================================,,,,,,,,,
File Design Information:,,,,,,,,,
,,,,,,,,,
Date:       22/06/25,,,,,,,,,
Time:       22:49,,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,,
Variant:    No variations,,,,,,,,,
Units used: mm,,,,,,,,,
,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,,
C10,10uf,BottomLayer,CAP_1206_(3216X15L),84.4735,60.974,360,Capacitor,,
C9,Capacitor Tantalum SMD,BottomLayer,Tan_1206_(3216X18L)_Size_A,91.7683,63.642,180,Capacitor Tantalum SMD,,
C8,Capacitor Tantalum SMD,BottomLayer,Tan_1206_(3216X18L)_Size_A,84.3987,63.642,360,Capacitor Tantalum SMD,,
C7,100nf,BottomLayer,CAP0805,120.025,62.468,270,Capacitor,,
C6,100nf,BottomLayer,CAP0805,116.73,111.351,360,Capacitor,,
C5,100nf,BottomLayer,CAP0805,97.714,51.705,90,Capacitor,,
C4,10uf,BottomLayer,CAP0805,95.377,51.705,90,Capacitor,,
C3,100nf,BottomLayer,CAP0805,95.377,56.023,270,Capacitor,,
C2,10uf,BottomLayer,CAP0805,97.714,56.023,270,Capacitor,,
C1,100nf,BottomLayer,CAP0805,116.73,108.712,180,Capacitor,,
BAT,Battery,BottomLayer,Bat,87.503,43.307,360,,,
B7,Button,TopLayer,PUSH_BUTTON_4_PIN_SMD_5,94.6465,70.6565,90,PUSH BUTTON,,
B6,Button,TopLayer,PUSH_BUTTON_4_PIN_SMD_5,94.361,60.96,180,PUSH BUTTON,,
B5,Button,TopLayer,PUSH_BUTTON_4_PIN_SMD_5,94.361,80.522,180,PUSH BUTTON,,
B4,Button,TopLayer,PUSH_BUTTON_4_PIN_SMD_5,103.187,70.6565,270,PUSH BUTTON,,
B3,Button,TopLayer,PUSH_BUTTON_4_PIN_SMD_5,86.106,70.612,90,PUSH BUTTON,,
B2,BUTTON,TopLayer,PUSH_BUTTON_SMD,122.371,111.831,360,PUSH BUTTON,,
B1,BUTTON,BottomLayer,PUSH_BUTTON_SMD,122.371,111.855,360,PUSH BUTTON,,
U4,OLED_0.96IN_WHITE,TopLayer,OLED_0.96IN_WHITE_SSD1306,100.965,98.171,360,"OLED, 0.96", Monochrome white," SSD1306"""
R15,390k,TopLayer,RES_0805_(2012X06L),104.6016,103.0934,90,RESISTOR,,
R13,10k,TopLayer,RES_0805_(2012X06L),96.9816,103.0934,90,RESISTOR,,
C23,1uf,TopLayer,CAP0805,89.535,102.87,90,Capacitor,,
C22,2.2uf,TopLayer,CAP0805,94.869,103.251,90,Capacitor,,
C21,1uf,TopLayer,CAP0805,92.075,102.87,90,Capacitor,,
C20,2.2uf,TopLayer,CAP0805,107.315,102.87,90,Capacitor,,
C19,100nf,TopLayer,CAP0805,112.395,102.87,270,Capacitor,,
C18,100nf,TopLayer,CAP0805,102.235,102.87,270,Capacitor,,
C17,10uf,TopLayer,CAP0805,109.855,102.87,270,Capacitor,,
C16,10uf,TopLayer,CAP0805,99.695,102.87,270,Capacitor,,
J4,SMA,BottomLayer,SAMTEC_SMA-J-P-H-ST-EM1,85.355,124.868,0,"SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder",,
J3,SMA,BottomLayer,SAMTEC_SMA-J-P-H-ST-EM1,100.722,124.868,0,"SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder",,
J2,SMA,BottomLayer,SAMTEC_SMA-J-P-H-ST-EM1,116.216,124.868,0,"SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder",,
ANT3,ANT U.FL,BottomLayer,U.FL_SMD,85.344,120.65,360,Antenna,,
ANT2,ANT U.FL,BottomLayer,U.FL_SMD,100.711,120.65,360,Antenna,,
ANT1,ANT U.FL,BottomLayer,U.FL_SMD,116.205,120.65,360,Antenna,,
R14,1k,TopLayer,RES_0805_(2012X06L),111.887,79.566,90,RESISTOR,,
D1,LED RGB WS2812,TopLayer,LED_5050_WS2812B,115.824,79.629,90,LED,,
